Company,Country,Region,Score,Status,Contact,Website,ISO 27001,ISO 14001,Employees,Revenue,Notes,Next Action,Last Touch
R-PASS,Czech Republic,Eastern Europe,70,Prospect,wholesale@r-pass.cz — wholesale@r-pass.cz,r-pass.cz,,,,Unknown,Backup for Czech coverage. Not full ITAD.,Verify capabilities,2026-02-11
Renewtech Czech,Czech Republic,Eastern Europe,70,Prospect,TBD,renewtech.cz,,,,Unknown,Likely part of Nordic Renewtech. Czech ITAD packages. ISO 27001.,Verify relationship to Renewtech,2026-02-13
ITAD Hungary (Marseus),Hungary,Eastern Europe,,Priority,MD via ugyvezeto@marseus.hu,itadhungary.hu / marseus.com,,,,,Hungary coverage. 20+ years experience. EU presence. Strong resale channel.,Draft outreach,2026-02-20
GreenWEEE,Romania,Eastern Europe,,Priority,Marius Costache (General Manager),greenweee.ro,,,,,Romania/CEE coverage. WEEELABEX certified. Major investments in recycling capacity.,Draft outreach,2026-02-20
EasyRecycle ApS,Denmark,Nordics,85,Outreach,+45 28 22 20 00,easyrecycle.dk,Yes,Yes,52,€1.7M,PRIORITY 1. Frederikshavn. ISO 9001/14001/27001/27701. EY Entrepreneur 2024 nominee. Kasper calling directly.,Kasper calling,2026-02-06
Remade in Sweden AB,Sweden,Nordics,82,Priority,info@remadeinsweden.se,remadeinsweden.se,Yes,Yes,18,€1.5M,Stockholm. ISO 9001/14001/27001. Amazon customer. Focus on repair/refurb.,Initial outreach,2026-02-05
Revac AS,Norway,Nordics,77,Research,,revac.no,,Yes,147,€52M,Certus customer. Strong ITAD division (Revac REUSE). Warm relationship via Kasper.,Score and qualify,2026-02-05
ReuseIT Sweden AB,Sweden,Nordics,75,Research,+46 470 70 35 00,reuseit.se,Yes,Yes,34,€18.6M,Växjö. Part of larger group (265 companies) - need to verify independence.,Verify independence,2026-02-05
Foxway,Estonia/Sweden,Nordics,70,Priority,TBD,foxway.com,Yes,Yes,,Unknown,Major Nordic ITAD player. Enterprise clients. Strong resale.,Research contact,2026-02-15
Inrego,Sweden,Nordics,70,Priority,TBD,inrego.se,Yes,Yes,,Unknown,Leading Swedish ITAD/refurb. Strong resale channel.,Research contact,2026-02-15
3stepIT,Finland,Nordics,70,Priority,TBD,3stepit.com,Yes,Yes,,Unknown,Pan-Nordic lifecycle mgmt. Finland/Sweden/Norway/Denmark presence.,Research contact,2026-02-15
Greenit,Denmark,Nordics,70,Prospect,TBD,greenitdk.com,,,,Unknown,Danish ITAD company. Needs capability verification.,Research contact,2026-02-15
Recipo,Norway,Nordics,70,Prospect,TBD,recipo.no,,,,Unknown,Norwegian recycler/ITAD. Needs deeper research.,Research contact,2026-02-15
EcoIT,Finland,Nordics,65,Research,+358 9 7510 1500,ecoit.fi,,,,Unknown,Finnish IT circular economy company. Need to verify size and certifications.,Research size and certs,2026-02-05
Greentec,Canada,North America,85,Research,Sean Baxter (VP Sales),greentec.com,,Yes,50,,TOP PICK Ontario. R2+NAID certified. 25+ years. Right size for Return Hub.,Research contact email,2026-02-19
Quantum Lifecycle Partners,Canada,North America,78,Research,,quantumlifecycle.com,Yes,Yes,100,,National coverage (coast-to-coast). Full certs. HQ Toronto. Larger company.,Research contact,2026-02-19
Hypertec,Canada,North America,72,Research,,hypertec.com,,,200,,Montreal HQ. ITAD + hardware mfg. Quebec coverage.,Research contact,2026-02-19
Synetic Technologies,USA,North America,70,Priority,TBD,synetic.com,,,,Unknown,"TOP NA PROSPECT. Fortune 500 experience, Navy veteran founder.",Research contact email,2026-02-10
TechnoCycle,USA,North America,70,Prospect,recycle@technocycle.com — recycle@technocycle.com,technocycle.com,,,,Unknown,Texas coverage. ExxonMobil engineering background.,Draft outreach,2026-02-10
Securis,USA,North America,70,Prospect,TBD,securis.com,,,,Unknown,Northeast USA coverage. ~$4M revenue.,Research contact,2026-02-10
Maxicom Canada,Canada,North America,,Research,Tej Preet,maxicom.ca,,,,,"Global ITAD group. Offices across Canada. Toronto, Montreal, Vancouver, Calgary.",Verify contact role,2026-02-19
PowerON,USA,North America,,Priority,Brent Kelley (President/CEO),poweronservices.com,,,,,California/West Coast coverage for GBT.,Draft outreach,2026-02-19
Revertia,Spain,Southern Europe,76,Priority,Via website,revertia.com,,,,Unknown,"Madrid & Galicia. Two facilities. Nationwide Spain. RAEE management, ITAD, buyback.",Verify size/certs,2026-02-06
Distruzione Documenti,Italy,Southern Europe,70,Research,Via website,distruzionedocumenti.com,,,,Unknown,"ADISA certified (unusual for Italy). ITAD, data erasure, RAEE disposal.",Verify size,2026-02-06
iQtec Services,Spain,Southern Europe,70,Priority,TBD,iqtec.es,,Yes,,Unknown,Blancco's ONLY ITAD partner in Spain. ISO 14001. NIST 800-88 compliant.,Research decision-maker,2026-02-13
Novaltti Networks,Spain,Southern Europe,70,Prospect,TBD,novaltti.com,,,,Unknown,"Founded in Spain, HQ in Gijón Asturias. IT lifecycle services.",Verify size + contacts,2026-02-13
Gruppo Xera,Italy,Southern Europe,70,Prospect,TBD,gruppoxera.com,,,,Unknown,Works with multinationals. Xera Distribution division for ITAD.,Verify size + contacts,2026-02-13
Mitrade,Italy,Southern Europe,68,Research,info@mitrade.it,mitrade.it,,,,Unknown,Lombardy/North Italy. Professional ITAD for SMBs and Corporates. Need size verification.,Research size and certs,2026-02-05
GREENPCTECH,Portugal,Southern Europe,68,Research,Via website,greenpctech.com,,,,Unknown,"Portugal. ITAD, refurbishment, remarketing. GDPR compliant. ESG focus. Sourced in Portugal, ships worldwide. Needs size/cert verification.",Verify size/certs,2026-02-06
BIT4K,Italy,Southern Europe,65,Research,Via website,bit4k.com,,,,Unknown,"Working on HP Renew, Dell, Microsoft certs. Smaller player - might be flexible.",Verify size/certs,2026-02-06
Vyta,UK/Ireland,UK & Ireland,84,Priority,info@vyta.com,vyta.com,Yes,Yes,150,€19M,"Dublin, Belfast, Chelmsford. Blancco Gold Partner. Only ADISA DIAL 3 in UK/Ireland. Award-winning.",Initial outreach,2026-02-05
S2S Group,UK,UK & Ireland,83,Priority,info@s2s.uk.com,s2s.uk.com,Yes,Yes,40,€5M,"Yorkshire. Est 1987. ISO 27001, ADISA, NPSA certified. £4.3M revenue growing.",Initial outreach,2026-02-05
Tier1 Asset Management,UK,UK & Ireland,79,Research,service@tier1.com,tier1.com,Yes,Yes,111,€27M,Manchester + Essex. Crown Commercial Service framework. Merged with EOL IT. At upper size limit.,Assess fit,2026-02-05
Gigacycle,UK,UK & Ireland,78,Priority,Via website,gigacycle.co.uk,,,,Unknown,"Manchester. 28,000 sq ft facility. ADISA Distinction. Clients: NHS, Government, FTSE 100.",Verify size,2026-02-06
Secure-ITAD,UK,UK & Ireland,72,Research,Via website,secure-itad.com,Yes,,,Unknown,"UK + hubs in Ireland, Belgium, Germany. Full ITAD, global remarketing. Multi-country interesting.",Verify size,2026-02-06
Circular Computing,UK,UK & Ireland,70,Priority,TBD,circularcomputing.com,Yes,Yes,,Unknown,Premium remanufacturer. Strong ESG story. BS 8887 certified.,Research contact,2026-02-15
Stone Group,UK,UK & Ireland,70,Priority,TBD,stonegroup.co.uk,Yes,Yes,,Unknown,Major UK ITAD. Public sector + enterprise. ADISA certified.,Research contact,2026-02-15
Astralis Technology,UK,UK & Ireland,70,Prospect,info@astralistech.co.uk — info@astralistech.co.uk,astralistech.co.uk,Yes,Yes,,Unknown,Small company (est. 2024). Triple ISO. ADISA certified. Ziperase for erasure.,Verify size + contacts,2026-02-13
Premier IT Disposal,UK,UK & Ireland,70,Prospect,TBD,premieritdisposal.co.uk,Yes,,,Unknown,Rebate-backed ITAD model. Needs size verification.,Verify size + contacts,2026-02-13
DGD Technology,Ireland,UK & Ireland,70,Prospect,TBD,dgdtechnology.ie,,,,Unknown,Irish ITAD. Local coverage. Needs size + cert verification.,Verify size + contacts,2026-02-13
Kefron,Ireland,UK & Ireland,70,Prospect,TBD,kefron.com,,,,Unknown,Irish ITAD provider. Multi-service. Needs verification.,Verify capabilities,2026-02-13
ATF Gaia,France,Western Europe,80,Priority,contact@atf-gaia.fr,atf-gaia.fr,,Yes,75,€8.8M,Paris region. Social enterprise. Part of Groupe ATF. Tech Data partner. IT buyback/refurb.,Verify ISO 27001,2026-02-05
Renewtech,Netherlands,Western Europe,78,Research,info@renewtech.com,renewtech.com,Yes,,76,€28M,Amsterdam. ISO 9001. Also serves German market via renewtech.de.,Research more,2026-02-05
Huiskes,Netherlands,Western Europe,74,Research,Via website,huiskes.com,,,,Unknown,"R2v3 + e-Stewards (rare in Europe!). ITAD, metal/electronics recycling. Good for US multinationals.",Verify size,2026-02-06
Out of Use,Belgium,Western Europe,72,Research,Via website,outofuse.be,,,,Unknown,"Belgium. ITAD, data destruction, data center dismantling. 30% reuse rate. CO2 tracking. Nature partnership. Needs size/cert verification.",Verify size/certs,2026-02-06
SiloSmash,Netherlands,Western Europe,70,Prospect,TBD,silosmash.com,,,,Unknown,Dutch ITAD. Needs verification.,Research contact,2026-02-15
Circular365,Netherlands,Western Europe,70,Prospect,TBD,circular365.nl,,,,Unknown,Dutch circular IT company.,Research contact,2026-02-15
Econocom,Belgium/France,Western Europe,70,Priority,TBD,econocom.com,Yes,Yes,,Unknown,Major European lifecycle company. Multi-country presence.,Research contact,2026-02-15
